dataset,method,k,params,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,n_clusters_found
hybrid,KMeans,5.0,,0.08677706867456436,2.6603889157576597,325.9869866242245,,,5
hybrid,Agglomerative,5.0,,0.08296811580657959,2.555427717525768,269.1705960030719,,,5
hybrid,KMeans,10.0,,0.03382045403122902,2.9644120255585102,188.87470934406505,,,10
hybrid,Agglomerative,10.0,,0.035411834716796875,3.0189873941409995,155.26137722826516,,,10
hybrid,KMeans,15.0,,0.03554202988743782,3.050652103138106,137.47853186421213,,,15
hybrid,Agglomerative,15.0,,0.016628948971629143,3.2795392659664158,116.46974724056848,,,15
hybrid,DBSCAN,,"{'eps': 0.5, 'min_samples': 5}",0.5590247511863708,0.32448816469632585,42.94141388878754,,,2
hybrid,DBSCAN,,"{'eps': 1.0, 'min_samples': 5}",0.5590247511863708,0.32448816469632585,42.94141388878754,,,2
hybrid,DBSCAN,,"{'eps': 1.5, 'min_samples': 5}",0.5590247511863708,0.32448816469632585,42.94141388878754,,,2
pca_baseline,KMeans,5.0,,0.09816993027925491,2.2266115263957755,514.0245289771692,,,5
pca_baseline,Agglomerative,5.0,,0.04970813915133476,2.7611580573712557,387.106031093155,,,5
pca_baseline,KMeans,10.0,,0.07769840955734253,2.072203013724258,328.9436931280223,,,10
pca_baseline,Agglomerative,10.0,,0.03640229254961014,2.294586530091551,248.84449066816615,,,10
pca_baseline,KMeans,15.0,,0.0710529237985611,2.1938448770191075,251.22293737892124,,,15
pca_baseline,Agglomerative,15.0,,0.03169066831469536,2.4298995755424753,192.51750065036538,,,15
pca_baseline,DBSCAN,,"{'eps': 0.5, 'min_samples': 5}",0.6678924560546875,0.24177065347846036,78.2399355370815,,,2
pca_baseline,DBSCAN,,"{'eps': 1.0, 'min_samples': 5}",-0.3132196068763733,1.439265574997661,9.189232211737641,,,22
pca_baseline,DBSCAN,,"{'eps': 1.5, 'min_samples': 5}",-0.23231826722621918,1.6299709036835943,11.943795395015496,,,80
audio_latent,KMeans,5.0,,0.10534783452749252,1.93282920318795,853.4804755306087,,,5
audio_latent,Agglomerative,5.0,,0.07713288068771362,2.0971294299130063,739.3130552476979,,,5
audio_latent,KMeans,10.0,,0.08208546787500381,1.8567887958728329,526.0014197088169,,,10
audio_latent,Agglomerative,10.0,,0.03487735614180565,2.080584960076516,463.3689645333584,,,10
audio_latent,KMeans,15.0,,0.06558854132890701,2.1142000398030656,390.8661553199108,,,15
audio_latent,Agglomerative,15.0,,0.043267909437417984,2.418112983897588,350.4354381242043,,,15
audio_latent,DBSCAN,,"{'eps': 0.5, 'min_samples': 5}",0.6295875310897827,0.2680615326688934,55.43933509679979,,,2
audio_latent,DBSCAN,,"{'eps': 1.0, 'min_samples': 5}",-0.2155192345380783,1.735467889348229,11.64653458457673,,,8
audio_latent,DBSCAN,,"{'eps': 1.5, 'min_samples': 5}",0.010404197499155998,2.0621001484020547,201.32009483685528,,,5
